iter	Passed	Remaining
0	2	203
1	3	174
2	4	159
3	5	142
4	7	146
5	9	141
6	10	137
7	11	134
8	13	131
9	14	129
10	15	125
11	16	123
12	17	119
13	19	117
14	20	114
15	21	112
16	22	109
17	23	106
18	24	103
19	25	100
20	26	98
21	27	96
22	28	94
23	29	92
24	30	90
25	30	87
26	31	85
27	32	84
28	33	82
29	34	81
30	36	82
31	37	80
32	38	78
33	39	76
34	40	74
35	40	72
36	41	70
37	42	69
38	43	67
39	44	66
40	44	64
41	45	62
42	45	60
43	46	59
44	47	57
45	47	56
46	48	54
47	48	53
48	49	51
49	50	50
50	50	48
51	51	47
52	51	45
53	52	44
54	52	43
55	53	41
56	53	40
57	54	39
58	54	38
59	55	36
60	56	35
61	56	34
62	57	33
63	57	32
64	58	31
65	58	30
66	59	29
67	59	28
68	60	27
69	60	26
70	61	25
71	61	24
72	62	23
73	63	22
74	63	21
75	64	20
76	64	19
77	65	18
78	65	17
79	66	16
80	67	15
81	67	14
82	68	13
83	68	13
84	69	12
85	69	11
86	70	10
87	70	9
88	71	8
89	72	8
90	72	7
91	73	6
92	74	5
93	74	4
94	75	3
95	75	3
96	76	2
97	77	1
98	77	0
99	78	0
